ADDRESS,AGREEMENT_TYPE,AIR_CONDITIONING,APPLIANCE,BATHROOM_NB,BEDROOM_NB,BUILDING_AMENITIES,COLLECTED_DATE,FURNISHED,LOCATION,MOVING_DATE,PARKING,PERSONAL_OUTDOOR_SPACE,PET_FRIENDLY,PRICE,SMOKING_PERMITTED,TELECOM,TYPE,UNIT_SIZE,UTILITIES,WEB_LINK
"30 Boulevard Saint-Joseph Est, Montréal, QC H2T 1G9, Canada",1 Year,Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 1,Bedrooms: 1,"Gym,Bicycle Parking,Elevator in Building",12/07/2021 12:28:15,No,"{'Type': 'Point', 'Coordinates': ['-73.59064', '45.52259']}","August 1, 2021",0,Balcony,Limited,1565,No,Not Included,Condo,560,"{'ELECTRICITY': True, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-appartement-3-1-2-renove/1575900630
"250 Rue Gary-Carter, Montréal, QC H2R 0B2, Canada",1 Year,Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 1,Bedrooms: 1,"Gym,Concierge,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 12:28:16,No,"{'Type': 'Point', 'Coordinates': ['-73.62386', '45.53299']}","September 1, 2021",0,Balcony,Yes,1500,No,Not Included,Apartment,739,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-parc-jarry-mile-ex-petite-italie-1er-septembre/1575909543
"2450 Athlone Rd, Mount Royal, QC H3R 3H6, Canada",1 Year,No,"Laundry (In Building),Fridge / Freezer",Bathrooms: 3.5,Bedrooms: 1,"Concierge,Elevator in Building",12/07/2021 12:28:16,Yes,"{'Type': 'Point', 'Coordinates': ['-73.65576', '45.51771']}","August 1, 2021",1,Balcony,No,895,Outdoors only,Not Included,Apartment,550,"{'ELECTRICITY': False, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-in-town-of-mount-royal-tmy/1574665577
"2062 , Montreal H3H1N8 QC, Canada",Month-to-month,No,"Laundry (In Unit),Fridge / Freezer",Bathrooms: 2,Bedrooms: 3,,12/07/2021 12:28:17,Yes,"{'Type': 'Point', 'Coordinates': ['-73.58085', '45.49086']}","August 1, 2021",0,Balcony,No,2100,No,,Duplex/Triplex,80,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/duplex-neer-lasalle-college-for-rent/1575902332
"1262 Rue Daniel, Longueuil, QC J4J 3M7, Canada",1 Year,No,,Bathrooms: 2.5,Bedrooms: 5+,,12/07/2021 12:28:17,No,"{'Type': 'Point', 'Coordinates': ['-73.49135', '45.52846']}","September 1, 2021",1,Yard,No,2480,No,Not Included,Townhouse,"1,280","{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/maison-de-ville-neuve-a-louer/1575927781
"Av du Parc, Montréal, QC H2V 4H4, Canada",1 Year,Yes,"Laundry (In Unit),Fridge / Freezer",Bathrooms: 1,Bedrooms: 3 + Den,,12/07/2021 12:28:17,Yes,"{'Type': 'Point', 'Coordinates': ['-73.60878', '45.52511']}","August 1, 2021",0,Balcony,No,1380,Outdoors only,Not Included,Apartment,"1,400","{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/lease-transfert-for-a-spacious-2-bdrs-apt-in-mile-end-park-av/1575870224
"14 Rue Lalancette, Sorel-Tracy, QC J3P 2X6, Canada",1 Year,No,,Bathrooms: 1.5,Bedrooms: 2,,12/07/2021 12:28:17,No,"{'Type': 'Point', 'Coordinates': ['-73.11602', '46.02245']}","August 1, 2021",1,Not Included,Limited,750,Outdoors only,Not Included,Apartment,710,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/saint-hyacinthe/beau-4-1-2-renove-sorel-tracy/1575889742
"1880 Robinson, H7t1l6, Laval, QC",1 Year,No,Laundry (In Building),Bathrooms: 1,Bedrooms: 2,Concierge,12/07/2021 12:28:17,No,"{'Type': 'Point', 'Coordinates': ['-73.7632', '45.55349']}","August 1, 2021",0,Balcony,No,1000,Yes,Not Included,Apartment,1,"{'ELECTRICITY': False, 'HEATING': True, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/large-appartement-4-dispo-1er-aout/1575914471
"1549 3e Rue, Richelieu, QC J3L 3Z9, Canada",1 Year,Yes,Laundry (In Unit),Bathrooms: 1,Bedrooms: 2,,12/07/2021 12:28:17,No,"{'Type': 'Point', 'Coordinates': ['-73.2493', '45.43745']}","September 1, 2021",1,Yard,No,870,No,Not Included,Apartment,900,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/4-et-demi-a-louer-a-richelieu-pres-de-chambly/1575902942
"4449 Rue Saint-André, Montréal, QC H2J 2Z5, Canada",1 Year,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 1,Bedrooms: 3 + Den,Storage Space,12/07/2021 12:28:17,No,"{'Type': 'Point', 'Coordinates': ['-73.57987', '45.52626']}","August 4, 2021",0,Yard,Yes,2000,Outdoors only,Not Included,Condo,990,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-quebec/grand-4-1-2-double-ch-rdc-cour-privee-station-mont-royal/1575852783
,,,,,,,12/07/2021 12:28:18,,"{'Type': 'Point', 'Coordinates': [None, None]}",,,,,,,,,,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/condos-de-luxe-neuf-a-louer-5-avec-2-sdb-et-terrasse/1575947852
"581 Rue Ouimet, Saint-Laurent, QC H4L 3N9, Canada",1 Year,No,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1,Bedrooms: 1,,12/07/2021 12:28:18,Yes,"{'Type': 'Point', 'Coordinates': ['-73.67388', '45.50984']}","July 11, 2021",0,Yard,No,650,No,Not Included,Apartment,600,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/large-3-1-2-basement-1-min-walk-to-metro-du-college/1575947010
"2404 av. Montclair, H4B 2J1, Montréal, QC",1 Year,No,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1,Bedrooms: Bachelor/Studio,,12/07/2021 12:28:18,Yes,"{'Type': 'Point', 'Coordinates': ['-73.62855', '45.461']}","August 1, 2021",0,Balcony,No,480,Outdoors only,Not Included,Apartment,50,"{'ELECTRICITY': False, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-1-5/1575946883
"795 75e Av, Laval, QC H7V 3X6, Canada",1 Year,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 1,Bedrooms: 2,Storage Space,12/07/2021 12:28:18,No,"{'Type': 'Point', 'Coordinates': ['-73.74102', '45.54265']}","August 1, 2021",1,Balcony,Yes,1499,Outdoors only,Not Included,Condo,905,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/condo-4-1-2-renove-a-chomedy-laval/1575947038
"H3X1E5, Canada",1 Year,No,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1,Bedrooms: 1,"Concierge,24 Hour Security",12/07/2021 12:28:18,Yes,"{'Type': 'Point', 'Coordinates': ['-73.6458', '45.48923']}","July 1, 2021",0,Not Included,Yes,875,Yes,Not Included,Apartment,800,"{'ELECTRICITY': False, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/brand-newly-painted-semi-furnished-3-1-2-for-rent/1575947456
", Montreal H3C 2C7 QC, Canada",1 Year,Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 1,Bedrooms: 1,"Gym,Pool,Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 12:28:18,Yes,"{'Type': 'Point', 'Coordinates': ['-73.55955', '45.49256']}","August 15, 2021",0,Yard,Limited,1700,No,Not Included,Condo,540,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/fully-un-furnished-3-1-2-condo-with-the-view-in-griffintown/1575947309
ADDRESS,AGREEMENT_TYPE,AIR_CONDITIONING,APPLIANCE,BATHROOM_NB,BEDROOM_NB,BUILDING_AMENITIES,COLLECTED_DATE,FURNISHED,LOCATION,MOVING_DATE,PARKING,PERSONAL_OUTDOOR_SPACE,PET_FRIENDLY,PRICE,SMOKING_PERMITTED,TELECOM,TYPE,UNIT_SIZE,UTILITIES,WEB_LINK
"H3X1E5, Canada",1 Year,False,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1,1,"Concierge,24 Hour Security",12/07/2021 12:36:53,True,"{'Type': 'Point', 'Coordinates': ['-73.6458', '45.48923']}","July 1, 2021",0,Not Included,True,875,True,Not Included,Apartment,800,"{'ELECTRICITY': False, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/brand-newly-painted-semi-furnished-3-1-2-for-rent/1575947456
"581 Rue Ouimet, Saint-Laurent, QC H4L 3N9, Canada",1 Year,False,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1,1,,12/07/2021 12:36:53,True,"{'Type': 'Point', 'Coordinates': ['-73.67388', '45.50984']}","July 11, 2021",0,Yard,False,650,False,Not Included,Apartment,600,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/large-3-1-2-basement-1-min-walk-to-metro-du-college/1575947010
"795 75e Av, Laval, QC H7V 3X6, Canada",1 Year,False,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 1,2,Storage Space,12/07/2021 12:36:53,False,"{'Type': 'Point', 'Coordinates': ['-73.74102', '45.54265']}","August 1, 2021",1,Balcony,True,1499,True,Not Included,Condo,905,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/condo-4-1-2-renove-a-chomedy-laval/1575947038
"2404 av. Montclair, H4B 2J1, Montréal, QC",1 Year,False,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1, Bachelor/Studio,,12/07/2021 12:36:53,True,"{'Type': 'Point', 'Coordinates': ['-73.62855', '45.461']}","August 1, 2021",0,Balcony,False,480,True,Not Included,Apartment,50,"{'ELECTRICITY': False, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-1-5/1575946883
"5775 Cavendish Boulevard, Montreal, QC, H4W 3L9",1 Year,True,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 2,3,"Gym,Concierge,Elevator in Building",12/07/2021 12:36:53,False,"{'Type': 'Point', 'Coordinates': ['-73.66246', '45.47713']}",,0,Balcony,True,2595,False,Not Included,Apartment,Not Available,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beautiful-3-bedroom-for-rent-in-cote-st-luc/1569483423
"J7J2N2, Canada",1 Year,True,"Laundry (In Unit),Dishwasher",Bathrooms: 2,3,"Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 12:36:53,False,"{'Type': 'Point', 'Coordinates': ['0.0', '0.0']}","August 1, 2021",0,Yard,True,1795,False,Not Included,Condo,"1,375","{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/condos-de-luxe-neuf-a-louer-5-avec-2-sdb-et-terrasse/1575947852
", Montreal H3C 2C7 QC, Canada",1 Year,True,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 1,1,"Gym,Pool,Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 12:36:53,True,"{'Type': 'Point', 'Coordinates': ['-73.55955', '45.49256']}","August 15, 2021",0,Yard,True,1700,False,Not Included,Condo,540,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/fully-un-furnished-3-1-2-condo-with-the-view-in-griffintown/1575947309
"H4R1K4, Canada",1 Year,False,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1, 2 + Den,"Concierge,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 12:36:54,True,"{'Type': 'Point', 'Coordinates': ['-73.70238', '45.51981']}","July 12, 2021",0,Yard,False,1300,False,Not Included,Apartment,"1,000","{'ELECTRICITY': True, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-metro-cote-vertu-tout-inclus-promotion/1575947951
"h4r1k4, Canada",1 Year,False,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1, 1 + Den,"Concierge,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 12:36:54,True,"{'Type': 'Point', 'Coordinates': ['-73.70238', '45.51981']}","July 12, 2021",0,Yard,False,1000,False,Not Included,Apartment,850,"{'ELECTRICITY': True, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-metro-cote-vertu-vsl-beton-tout-inclus/1575948096
"Avenue Bruce, Westmount, QC H3Z 2E1, Canada",1 Year,False,"Laundry (In Unit),Laundry (In Building),Dishwasher,Fridge / Freezer",Bathrooms: 1,2,,12/07/2021 12:36:54,False,"{'Type': 'Point', 'Coordinates': ['-73.58765', '45.48434']}","June 7, 2021",1,Balcony,True,2550,True,Not Included,Townhouse,"1,250","{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-bedroom-westmount-atwater-downtown-appartement-renovated/1575948673
", quebec G1G 6k1 QC, Canada",1 Year,False,,Bathrooms: 1,2,,12/07/2021 12:36:54,False,"{'Type': 'Point', 'Coordinates': ['-71.29735', '46.89372']}","August 1, 2021",2,Not Included,True,875,False,Not Included,Apartment,700,"{'ELECTRICITY': False, 'HEATING': False, 'WATER': False}",https://www.kijiji.ca/v-appartement-condo/ville-de-quebec/condo-appartement-a-louer-3-5-et-4-5-charlesbourg-quebec/1575948614
"h4r1k4, Canada",1 Year,False,"Laundry (In Building),Fridge / Freezer",Bathrooms: 1, 2 + Den,"Concierge,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",12/07/2021 12:36:54,True,"{'Type': 'Point', 'Coordinates': ['-73.70238', '45.51981']}","July 12, 2021",0,Yard,False,1300,False,Not Included,Apartment,"1,000","{'ELECTRICITY': True, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-metro-cote-vertu-vsl-beton-tout-inclus/1575948212
"Trois-Rivières, QC G8T6X7, Canada",Month-to-month,False,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Bathrooms: 1,2,,12/07/2021 12:36:54,True,"{'Type': 'Point', 'Coordinates': ['-72.53585', '46.3684']}","September 1, 2021",3+,Yard,False,,False,,Apartment,750,"{'ELECTRICITY': True, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/trois-rivieres/condos-appartements-aux-saveurs-de-lart-au-bord-de-la-riviere/1400121155
", H7N5A4, LAVAL, QC",1 Year,False,"Laundry (In Unit),Laundry (In Building),Fridge / Freezer",Bathrooms: 1,2,,12/07/2021 12:36:54,False,"{'Type': 'Point', 'Coordinates': ['-73.70085', '45.55763']}","August 1, 2021",0,Balcony,False,,False,Not Included,Apartment,1,"{'ELECTRICITY': False, 'HEATING': True, 'WATER': True}",https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/4-1-2-apartment-for-rent-1st-august/1575949038
